client_name,campaign_name,goal,remaining,daily,weekly,url,sale_price,start_date,status,vendor,curator_status,playlists,notes,last_modified,sp_vendor_updates,spotify_campaign
"Riddim Network","Andres aka DRE - MI PADRE",10000,-1045,301,2270,"https://open.spotify.com/track/7222SDoPkwXdDmwmkfRUMa?si=832def4c990d4de4",0,"6/3/2025","Complete","Club Restricted","Accepted","- frank ocean best songs [NEW]","","7/10/2025 7:36am","",""
"Riddim Network","ADVM BOMB - WAR NEVER CHVNGES",10000,10000,0,0,"https://open.spotify.com/track/5CxyU9mkitMkLPnIxmgACX",0,"2/4/2025","Complete","Golden Nugget","Accepted","- DUBSTEP BRUTAL DROPS","Artist and campaign still not showing in SFA","2/12/2025 7:13pm","",""
"Riddim Network","MISTA J X JINX THE REAPER ($EANCE)",10000,10000,0,0,"https://open.spotify.com/album/50pkcIgA4lltJDZW2X5xR7?si=FrNhloEhRP2IbUdgWvy_WA&nd=1&dlsi=e4bf9a3f42fd4293",0,"1/14/2025","Cancelled","Club Restricted","Accepted","- placements TBD","","1/16/2025 8:07pm","",""
"Pharaoh Phonix","Chomper - Hear This",10000,10000,0,0,"TBD",0,"5/30/2025","Unreleased","Club Restricted","TBD","","","2/11/2025 9:41pm","",""
"Pharaoh Phonix","Thomas Xavier - Gettin Freqi",10000,-1200,250,1800,"https://open.spotify.com/track/5o0Wm92Kqha9R7o8UJupVl",0,"2/7/2025","Complete","Club Restricted","Accepted","- Gym - Temazos Motivacion","","3/25/2025 6:07pm","",""
"Pharaoh Phonix","Thomas Xavier - They Don't Want This",10000,-2300,0,0,"https://open.spotify.com/track/4RqqBhw2dpG7dISALhIYr0",0,"8/23/2024","Complete","Vynx","Accepted","- Summer Electrohits","","4/2/2025 10:20pm","",""
"Pharaoh Phonix","Mazadu - The Journey",11600,-300,0,0,"https://open.spotify.com/track/01TTFLXn92MZdBNwXD6jZa",0,"8/13/2024","Complete","Vynx","Accepted","- Summer Electrohits","","4/2/2025 10:31pm","",""
"Pharaoh Phonix","Rude Noise & KTNY - PUSH THAT PEDAL",10000,10000,0,0,"https://open.spotify.com/track/2Fjrn23isMsgpcOhgAS7IF?si=22519bbe409b4e11",0,"8/13/2024","Cancelled","Vynx","Accepted","","","10/9/2024 12:44pm","",""
"Pharaoh Phonix","Thomas Xavier - Beast Mode",15000,-800,0,20,"https://open.spotify.com/track/6aayDf6CFQVoK8VL132YAV?si=3e2aa77e7ec34f58",0,"8/13/2024","Complete","Vynx","Accepted","- Summer Electrohits","","4/2/2025 10:29pm","",""
"Pharaoh Phonix","Thot Chamber - Menace",10000,10000,0,0,"https://open.spotify.com/track/23euCkyGJ8ak9WK6GOiXIt?si=33152d54d0d5427f",0,"8/13/2024","Cancelled","Vynx","Accepted","","","10/9/2024 12:46pm","",""
"Pharaoh Phonix","Elledance - Deception",10000,-5800,0,20,"https://open.spotify.com/track/3RRgOFWrdFuDSRmEsZl5WJ",0,"4/26/2024","Complete","Vynx","Accepted","- Summer Eletrohits","","4/2/2025 6:31pm","",""
"Pharaoh Phonix","Thomas Xavier - Know They Fly",20000,9300,0,0,"https://open.spotify.com/track/2saLUUH66Uit7R3Xef9fAD",0,"4/26/2024","Cancelled","Vynx","Accepted","- Summer Eletrohits","","4/18/2025 12:16pm","",""
"Pharaoh Phonix","Thomas Xavier - Hot For A Min",20000,-6000,50,300,"",0,"3/15/2024","Complete","Glenn","Accepted","","","4/2/2025 6:19pm","",""
"Pharaoh Phonix","Kwal & Blaze Orange - Shake",10000,1500,0,10,"",0,"3/1/2024","Complete","Glenn","Accepted","","","4/2/2025 5:33pm","",""
"Pharaoh Phonix","Thomas Xavier - Set It Off",20000,12700,10,60,"",0,"2/23/2024","Complete","Glenn","Accepted","","","4/2/2025 5:15pm","",""
"Pharaoh Phonix","Ken & Odeus - Gravity",10000,6700,0,10,"",0,"2/2/2024","Complete","Glenn","Accepted","","","4/2/2025 5:01pm","",""
"Pharaoh Phonix","Thomas Xavier - Hot For A Min",10000,-21800,50,300,"",0,"1/31/2024","Complete","Glenn","Accepted","","","4/2/2025 4:58pm","",""
"Pharaoh Phonix","Mother. - Wait",75000,50000,0,30,"",0,"1/26/2024","Complete","Glenn","Accepted","","","4/2/2025 4:46pm","",""
"Pharaoh Phonix","Thomas Xavier - Ain't a killa",10000,-21800,0,110,"",0,"12/6/2023","Complete","Glenn","Accepted","","","4/2/2025 4:35pm","",""
"dead weight","Dead Weight - Eclipse",10000,866,112,607,"https://open.spotify.com/track/2dYqaLPJVMxxEI6rDMk4of?si=477652d9fb284018&nd=1&dlsi=9674ea71a2f54341",0,"5/23/2025","Active","Club Restricted","Accepted","- SIGMA MALE TIKTOK MUSIC [NEW]","","9/18/2025 10:49am","",""
"Kluster Flux","Kluster Flux - Gods",10000,1116,89,523,"https://open.spotify.com/track/3o5mNSJZimpo1bWyVR5dQE",0,"5/23/2025","Active","Club Restricted","Accepted","- SIGMA MALE TIKTOK MUSIC [NEW]","","9/18/2025 12:17pm","",""
"Kluster Flux","Kluster Flux - Final Flash",10000,4028,66,460,"https://open.spotify.com/track/6g9p3ONm3urpjjiD7lYozk",0,"5/15/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME","","9/18/2025 12:16pm","",""
"Kluster Flux","Kluster Flux - Gods",10000,3084,63,460,"https://open.spotify.com/track/3o5mNSJZimpo1bWyVR5dQE",0,"5/15/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME","","9/18/2025 12:19pm","",""
"VRG","VRG - 2much",11000,4277,126,705,"https://open.spotify.com/track/3k5whrhg3e5vyQ2VVS6Ebm",0,"5/23/2025","Active","Moon","Accepted","- BEST DUBSTEP OF ALL TIME","","9/18/2025 3:00pm","",""
